category,code,title,regional_components
Metropolitan Area,25420,"Harrisburg-Carlisle, PA","Cumberland County, PA (42041); Dauphin County, PA (42043); Perry County, PA (42099)"
Metropolitan Area,25500,"Harrisonburg, VA","Rockingham County, VA (51165); Harrisonburg city, VA (51660)"
Metropolitan Area,25540,"Hartford-West Hartford-East Hartford, CT","Hartford County, CT (09003); Middlesex County, CT (09007); Tolland County, CT (09013)"
Metropolitan Area,25620,"Hattiesburg, MS","Forrest County, MS (28035); Lamar County, MS (28073); Perry County, MS (28111)"
Metropolitan Area,25860,"Hickory-Lenoir-Morganton, NC","Alexander County, NC (37003); Burke County, NC (37023); Caldwell County, NC (37027); Catawba County, NC (37035)"
Metropolitan Area,25980,"Hinesville-Fort Stewart, GA","Liberty County, GA (13179); Long County, GA (13183)"
Metropolitan Area,26100,"Holland-Grand Haven, MI","Ottawa County, MI (26139)"
Metropolitan Area,26180,"Honolulu, HI","Honolulu County, HI (15003)"
Metropolitan Area,26300,"Hot Springs, AR","Garland County, AR (05051)"
Metropolitan Area,26380,"Houma-Bayou Cane-Thibodaux, LA","Lafourche Parish, LA (22057); Terrebonne Parish, LA (22109)"
Metropolitan Area,26420,"Houston-Sugar Land-Baytown, TX","Austin County, TX (48015); Brazoria County, TX (48039); Chambers County, TX (48071); Fort Bend County, TX (48157); Galveston County, TX (48167); Harris County, TX (48201); Liberty County, TX (48291); Montgomery County, TX (48339); San Jacinto County, TX (48407); Waller County, TX (48473)"
Metropolitan Area,26580,"Huntington-Ashland, WV-KY-OH","Boyd County, KY (21019); Greenup County, KY (21089); Lawrence County, OH (39087); Cabell County, WV (54011); Wayne County, WV (54099)"
Metropolitan Area,26620,"Huntsville, AL","Limestone County, AL (01083); Madison County, AL (01089)"
Metropolitan Area,26820,"Idaho Falls, ID","Bonneville County, ID (16019); Jefferson County, ID (16051)"
Metropolitan Area,26900,"Indianapolis-Carmel, IN","Boone County, IN (18011); Brown County, IN (18013); Hamilton County, IN (18057); Hancock County, IN (18059); Hendricks County, IN (18063); Johnson County, IN (18081); Marion County, IN (18097); Morgan County, IN (18109); Putnam County, IN (18133); Shelby County, IN (18145)"
Metropolitan Area,26980,"Iowa City, IA","Johnson County, IA (19103); Washington County, IA (19183)"
Metropolitan Area,27060,"Ithaca, NY","Tompkins County, NY (36109)"
Metropolitan Area,27100,"Jackson, MI","Jackson County, MI (26075)"
Metropolitan Area,27140,"Jackson, MS","Copiah County, MS (28029); Hinds County, MS (28049); Madison County, MS (28089); Rankin County, MS (28121); Simpson County, MS (28127)"
Metropolitan Area,27180,"Jackson, TN","Chester County, TN (47023); Madison County, TN (47113)"
Metropolitan Area,27260,"Jacksonville, FL","Baker County, FL (12003); Clay County, FL (12019); Duval County, FL (12031); Nassau County, FL (12089); St. Johns County, FL (12109)"
Metropolitan Area,27340,"Jacksonville, NC","Onslow County, NC (37133)"
Metropolitan Area,27500,"Janesville, WI","Rock County, WI (55105)"
Metropolitan Area,27620,"Jefferson City, MO","Callaway County, MO (29027); Cole County, MO (29051); Moniteau County, MO (29135); Osage County, MO (29151)"
Metropolitan Area,27740,"Johnson City, TN","Carter County, TN (47019); Unicoi County, TN (47171); Washington County, TN (47179)"
Metropolitan Area,27780,"Johnstown, PA","Cambria County, PA (42021)"
Metropolitan Area,27860,"Jonesboro, AR","Craighead County, AR (05031); Poinsett County, AR (05111)"
Metropolitan Area,27900,"Joplin, MO","Jasper County, MO (29097); Newton County, MO (29145)"
Metropolitan Area,28020,"Kalamazoo-Portage, MI","Kalamazoo County, MI (26077); Van Buren County, MI (26159)"
Metropolitan Area,28100,"Kankakee-Bradley, IL","Kankakee County, IL (17091)"
Metropolitan Area,28140,"Kansas City, MO-KS","Franklin County, KS (20059); Johnson County, KS (20091); Leavenworth County, KS (20103); Linn County, KS (20107); Miami County, KS (20121); Wyandotte County, KS (20209); Bates County, MO (29013); Caldwell County, MO (29025); Cass County, MO (29037); Clay County, MO (29047); Clinton County, MO (29049); Jackson County, MO (29095); Lafayette County, MO (29107); Platte County, MO (29165); Ray County, MO (29177)"
Metropolitan Area,28420,"Kennewick-Pasco-Richland, WA","Benton County, WA (53005); Franklin County, WA (53021)"
Metropolitan Area,28660,"Killeen-Temple-Fort Hood, TX","Bell County, TX (48027); Coryell County, TX (48099); Lampasas County, TX (48281)"
Metropolitan Area,28700,"Kingsport-Bristol-Bristol, TN-VA","Hawkins County, TN (47073); Sullivan County, TN (47163); Scott County, VA (51169); Washington County, VA (51191); Bristol city, VA (51520)"
Metropolitan Area,28740,"Kingston, NY","Ulster County, NY (36111)"
Metropolitan Area,28940,"Knoxville, TN","Anderson County, TN (47001); Blount County, TN (47009); Knox County, TN (47093); Loudon County, TN (47105); Union County, TN (47173)"
Metropolitan Area,29020,"Kokomo, IN","Howard County, IN (18067); Tipton County, IN (18159)"
Metropolitan Area,29100,"La Crosse, WI-MN","Houston County, MN (27055); La Crosse County, WI (55063)"
Metropolitan Area,29140,"Lafayette, IN","Benton County, IN (18007); Carroll County, IN (18015); Tippecanoe County, IN (18157)"
Metropolitan Area,29180,"Lafayette, LA","Lafayette Parish, LA (22055); St. Martin Parish, LA (22099)"
Metropolitan Area,29340,"Lake Charles, LA","Calcasieu Parish, LA (22019); Cameron Parish, LA (22023)"
Metropolitan Area,29420,"Lake Havasu City-Kingman, AZ","Mohave County, AZ (04015)"
Metropolitan Area,29460,"Lakeland-Winter Haven, FL","Polk County, FL (12105)"
Metropolitan Area,29540,"Lancaster, PA","Lancaster County, PA (42071)"
Metropolitan Area,29620,"Lansing-East Lansing, MI","Clinton County, MI (26037); Eaton County, MI (26045); Ingham County, MI (26065)"
Metropolitan Area,29700,"Laredo, TX","Webb County, TX (48479)"
Metropolitan Area,29740,"Las Cruces, NM","Dona Ana County, NM (35013)"
Metropolitan Area,29820,"Las Vegas-Paradise, NV","Clark County, NV (32003)"
Metropolitan Area,29940,"Lawrence, KS","Douglas County, KS (20045)"
Metropolitan Area,30020,"Lawton, OK","Comanche County, OK (40031)"
Metropolitan Area,30140,"Lebanon, PA","Lebanon County, PA (42075)"
Metropolitan Area,30300,"Lewiston, ID-WA","Nez Perce County, ID (16069); Asotin County, WA (53003)"
Metropolitan Area,30340,"Lewiston-Auburn, ME","Androscoggin County, ME (23001)"
